Dataset,Category,Total_Count,Average_Per_Year
hist-1950 Round 1,Tropical Depression + Tropical Storm,11,0.16923076923076924
hist-1950 Round 1,Category 1-2,0,0.0
hist-1950 Round 1,Category 3-5,0,0.0
hist-1950 Round 2,Tropical Depression + Tropical Storm,10,0.15384615384615385
hist-1950 Round 2,Category 1-2,0,0.0
hist-1950 Round 2,Category 3-5,0,0.0
highresSST-present Round 1,Tropical Depression + Tropical Storm,6,0.09230769230769231
highresSST-present Round 1,Category 1-2,0,0.0
highresSST-present Round 1,Category 3-5,0,0.0
highresSST-present Round 2,Tropical Depression + Tropical Storm,8,0.12307692307692308
highresSST-present Round 2,Category 1-2,0,0.0
highresSST-present Round 2,Category 3-5,1,0.015384615384615385
highresSST-present Round 3,Tropical Depression + Tropical Storm,12,0.18461538461538463
highresSST-present Round 3,Category 1-2,0,0.0
highresSST-present Round 3,Category 3-5,0,0.0
highresSST-future  Round 1,Tropical Depression + Tropical Storm,10,0.2777777777777778
highresSST-future  Round 1,Category 1-2,0,0.0
highresSST-future  Round 1,Category 3-5,0,0.0
highresSST-future  Round 2,Tropical Depression + Tropical Storm,4,0.1111111111111111
highresSST-future  Round 2,Category 1-2,0,0.0
highresSST-future  Round 2,Category 3-5,0,0.0
highresSST-future  Round 3,Tropical Depression + Tropical Storm,9,0.25
highresSST-future  Round 3,Category 1-2,0,0.0
highresSST-future  Round 3,Category 3-5,0,0.0
highres-future Round 1,Tropical Depression + Tropical Storm,6,0.16666666666666666
highres-future Round 1,Category 1-2,0,0.0
highres-future Round 1,Category 3-5,0,0.0
highres-future Round 2,Tropical Depression + Tropical Storm,4,0.1111111111111111
highres-future Round 2,Category 1-2,0,0.0
highres-future Round 2,Category 3-5,0,0.0
